Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,29-Jul-21,1605.6,1600.1,1620,1600.1,1615.5,1617,1614.8,4660873,7526375522,144550,2926321,62.78
INFY,30-Jul-21,1617,1610,1623.4,1606.15,1611.75,1610.5,1613.35,6234257,10058016360,136907,4485149,71.94
INFY,02-Aug-21,1610.5,1627.45,1634.75,1619.2,1632,1631.55,1627.56,5553389,9038450771,123236,4318503,77.76
INFY,03-Aug-21,1631.55,1647,1658.65,1635.6,1657,1655.2,1645.86,5513668,9074703957,140415,3887460,70.51
INFY,04-Aug-21,1655.2,1669.1,1679.9,1639.05,1648.55,1649.25,1653.26,6740391,11143605331,152430,4752601,70.51
INFY,05-Aug-21,1649.25,1649.5,1666,1647.05,1652,1653.55,1655.81,5420536,8975400927,124049,3761486,69.39
INFY,06-Aug-21,1653.55,1657,1660.65,1644,1652.1,1650.2,1652.9,3754855,6206401477,100454,2558438,68.14
INFY,09-Aug-21,1650.2,1661,1667.45,1646.4,1664.4,1663.3,1656.74,5018477,8314309678,113096,3673439,73.2
INFY,10-Aug-21,1663.3,1668,1680,1661.05,1674.15,1677.25,1674.29,6846517,11463058438,135096,5175394,75.59
INFY,11-Aug-21,1677.25,1674.8,1684,1668,1675.1,1677.55,1676,4899639,8211808502,149326,3586596,73.2
INFY,12-Aug-21,1677.55,1679.15,1696.5,1674,1684.95,1689.6,1687.65,5659579,9551399368,152218,4217591,74.52
